,Zip Code,AREALAND,AREAWATR,Pop2010,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,MHINC,TotalCases
0,21201,3340677.0,0.0,16972.0,11255.0,5482.0,8896.0,51.0,1519.0,8.0,31.0,414.0,571.0,32.3,52.4,0.3,9.0,0.0,0.2,2.4,3.4,1842.0,10.9,30.3,1413.0,12.6,7.8,16.3,90.6,81.5,48044.11111111111,468
1,21202,4111039.0,331316.0,22832.0,10372.0,6049.0,14845.0,48.0,815.0,6.0,59.0,344.0,666.0,26.5,65.0,0.2,3.6,0.0,0.3,1.5,2.9,1532.0,6.7,32.3,1972.0,19.0,17.9,21.7,77.2,80.7,53117.98888888889,851
2,21205,5304530.0,0.0,16146.0,7059.0,2933.0,11259.0,64.0,245.0,5.0,15.0,231.0,1394.0,18.2,69.7,0.4,1.5,0.0,0.1,1.4,8.6,1627.0,10.1,30.6,1436.0,20.3,23.0,43.8,59.0,78.2,38678.15714285714,686
3,21206,18667230.0,3869.0,50846.0,21762.0,13133.0,34557.0,167.0,784.0,13.0,84.0,1041.0,1067.0,25.8,68.0,0.3,1.5,0.0,0.2,2.0,2.1,4882.0,9.6,35.4,1963.0,9.0,49.5,18.3,39.4,56.4,53439.02857142857,2029
4,21207,26710727.0,81229.0,48133.0,20272.0,4683.0,40270.0,118.0,550.0,8.0,97.0,791.0,1616.0,9.7,83.7,0.2,1.1,0.0,0.2,1.6,3.4,6616.0,13.7,38.7,1494.0,7.4,48.0,19.6,40.2,56.1,47495.61666666667,1804
5,21208,31925959.0,65741.0,33917.0,15621.0,18227.0,13209.0,55.0,812.0,14.0,81.0,502.0,1017.0,53.7,38.9,0.2,2.4,0.0,0.2,1.5,3.0,8080.0,23.8,46.7,895.0,5.7,46.9,30.2,32.8,32.0,49056.35,1443
6,21209,18354471.0,101926.0,26465.0,12054.0,19694.0,3547.0,29.0,2056.0,9.0,53.0,428.0,649.0,74.4,13.4,0.1,7.8,0.0,0.2,1.6,2.5,4157.0,15.7,37.7,547.0,4.5,41.8,29.8,40.5,17.6,64002.13333333334,768
7,21210,8579050.0,5635.0,14292.0,5949.0,11158.0,909.0,14.0,1447.0,2.0,15.0,290.0,457.0,78.1,6.4,0.1,10.1,0.0,0.1,2.0,3.2,1986.0,13.9,31.6,395.0,6.6,38.9,32.2,42.7,14.3,82454.58,120
8,21211,7219042.0,25184.0,17351.0,9287.0,13144.0,2299.0,54.0,838.0,2.0,31.0,377.0,606.0,75.8,13.2,0.3,4.8,0.0,0.2,2.2,3.5,2836.0,16.3,36.9,967.0,10.4,41.4,23.2,46.1,46.9,56940.450000000004,290
9,21212,12042941.0,97316.0,32322.0,14380.0,16979.0,12620.0,64.0,1037.0,5.0,58.0,569.0,990.0,52.5,39.0,0.2,3.2,0.0,0.2,1.8,3.1,4166.0,12.9,38.6,1466.0,10.2,53.4,22.7,30.9,36.0,73300.95999999999,839
10,21213,8833257.0,1899.0,32733.0,14968.0,1954.0,29824.0,77.0,131.0,2.0,20.0,364.0,361.0,6.0,91.1,0.2,0.4,0.0,0.1,1.1,1.1,3562.0,10.9,35.6,3147.0,21.0,41.8,26.0,43.5,77.1,38321.399999999994,1140
11,21214,7394837.0,0.0,20564.0,8981.0,8276.0,10950.0,51.0,252.0,7.0,40.0,468.0,520.0,40.2,53.2,0.2,1.2,0.0,0.2,2.3,2.5,2213.0,10.8,39.0,791.0,8.8,59.8,19.1,26.1,48.7,59342.81999999999,621
12,21215,17645223.0,10946.0,60161.0,26995.0,8610.0,48796.0,134.0,387.0,33.0,102.0,725.0,1374.0,14.3,81.1,0.2,0.6,0.1,0.2,1.2,2.3,10092.0,16.8,39.8,3679.0,13.6,35.7,28.9,49.7,60.7,47794.718181818185,2287
13,21216,8634688.0,145342.0,32071.0,14934.0,386.0,30809.0,57.0,55.0,6.0,25.0,392.0,341.0,1.2,96.1,0.2,0.2,0.0,0.1,1.2,1.1,4330.0,13.5,37.4,3029.0,20.3,34.5,31.1,49.9,76.5,39209.887500000004,933
14,21217,5999196.0,191954.0,37111.0,21096.0,3487.0,32069.0,76.0,367.0,6.0,50.0,555.0,501.0,9.4,86.4,0.2,1.0,0.0,0.1,1.5,1.4,4127.0,11.1,34.3,5854.0,27.7,21.7,27.7,70.0,81.5,37689.8625,921
15,21218,10836080.0,316361.0,49796.0,23730.0,12737.0,31565.0,131.0,2837.0,19.0,89.0,974.0,1444.0,25.6,63.4,0.3,5.7,0.0,0.2,2.0,2.9,5660.0,11.4,32.8,3784.0,15.9,33.0,28.0,54.2,64.7,52487.73636363636,1302
16,21222,28389988.0,5688538.0,55786.0,23231.0,44049.0,6297.0,457.0,912.0,11.0,45.0,1490.0,2525.0,79.0,11.3,0.8,1.6,0.0,0.1,2.7,4.5,8242.0,14.8,39.1,1496.0,6.4,45.4,32.0,33.3,46.7,36666.3,2084
17,21223,6817146.0,48381.0,26366.0,14343.0,4849.0,19712.0,117.0,332.0,4.0,35.0,501.0,816.0,18.4,74.8,0.4,1.3,0.0,0.1,1.9,3.1,2760.0,10.5,34.8,4751.0,33.1,22.5,37.2,64.1,75.2,38385.09,790
18,21224,24539976.0,8880483.0,49134.0,23112.0,29120.0,8434.0,382.0,1092.0,27.0,75.0,895.0,9109.0,59.3,17.2,0.8,2.2,0.1,0.2,1.8,18.5,5194.0,10.6,32.5,3193.0,13.8,42.9,25.8,42.2,52.4,71251.37142857142,2630
19,21225,16741531.0,641895.0,33545.0,13715.0,15288.0,14399.0,117.0,581.0,8.0,47.0,900.0,2205.0,45.6,42.9,0.3,1.7,0.0,0.1,2.7,6.6,3379.0,10.1,32.0,1441.0,10.5,35.4,28.0,50.9,64.7,32534.4,1070
20,21226,25718732.0,17453901.0,7561.0,3347.0,5667.0,1088.0,36.0,141.0,1.0,4.0,253.0,371.0,75.0,14.4,0.5,1.9,0.0,0.1,3.3,4.9,639.0,8.5,34.7,408.0,12.2,50.9,16.7,38.9,46.1,39936.5,170
21,21227,29853685.0,570967.0,33534.0,13611.0,24303.0,5032.0,68.0,1207.0,25.0,43.0,746.0,2110.0,72.5,15.0,0.2,3.6,0.1,0.1,2.2,6.3,4300.0,12.8,35.0,814.0,6.0,48.2,24.7,36.0,45.3,47486.950000000004,1195
22,21228,40143654.0,107562.0,47577.0,19985.0,30774.0,10146.0,104.0,3568.0,20.0,104.0,1008.0,1853.0,64.7,21.3,0.2,7.5,0.0,0.2,2.1,3.9,9045.0,19.0,43.4,827.0,4.1,52.8,26.0,28.7,24.8,58055.3,1674
23,21229,15227940.0,9418.0,45213.0,19681.0,8059.0,34089.0,121.0,1249.0,22.0,62.0,720.0,891.0,17.8,75.4,0.3,2.8,0.0,0.1,1.6,2.0,5773.0,12.8,37.2,1844.0,9.4,44.5,22.5,42.6,63.6,46606.51111111111,1670
24,21230,16325575.0,5336342.0,33568.0,17478.0,21122.0,8821.0,87.0,1045.0,12.0,59.0,614.0,1808.0,62.9,26.3,0.3,3.1,0.0,0.2,1.8,5.4,3018.0,9.0,31.8,2457.0,14.1,44.5,19.4,44.8,55.2,53844.21000000001,1282
25,21231,2259604.0,384090.0,15748.0,9108.0,7821.0,5126.0,90.0,595.0,10.0,14.0,271.0,1821.0,49.7,32.6,0.6,3.8,0.1,0.1,1.7,11.6,1293.0,8.2,32.1,1395.0,15.3,28.0,21.1,64.6,67.0,69093.02857142857,517
26,21234,33648163.0,11024.0,69752.0,31527.0,45694.0,17218.0,138.0,2969.0,23.0,101.0,1246.0,2363.0,65.5,24.7,0.2,4.3,0.0,0.1,1.8,3.4,12223.0,17.5,40.1,1500.0,4.8,44.6,27.2,38.7,41.6,54366.9,2121
27,21236,22187907.0,27168.0,38474.0,16332.0,28520.0,4790.0,77.0,3107.0,4.0,69.0,732.0,1175.0,74.1,12.4,0.2,8.1,0.0,0.2,1.9,3.1,4785.0,12.4,37.9,563.0,3.4,53.5,23.7,29.9,32.1,56655.8,1128
28,21237,29708940.0,665797.0,30059.0,12461.0,17084.0,8049.0,113.0,2233.0,8.0,68.0,597.0,1907.0,56.8,26.8,0.4,7.4,0.0,0.2,2.0,6.3,3946.0,13.1,37.2,680.0,5.5,48.9,24.5,35.3,35.8,49335.45,1239
29,21239,8375263.0,2110.0,28793.0,12505.0,4298.0,22820.0,46.0,600.0,11.0,38.0,440.0,540.0,14.9,79.3,0.2,2.1,0.0,0.1,1.5,1.9,3644.0,12.7,36.0,740.0,5.9,45.6,20.2,42.9,59.5,52662.3,1075
30,21251,461424.0,0.0,934.0,0.0,33.0,859.0,0.0,12.0,1.0,0.0,25.0,4.0,3.5,92.0,0.0,1.3,0.1,0.0,2.7,0.4,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,62866.9,0
31,21287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19374.1,0
